,train,val,test
0,img1,img35,img4
1,img100,img76,img27
2,img11,img81,img96
3,img12,img16,img89
4,img15,img2,img58
5,img24,img75,img83
6,img25,img23,img45
7,img26,img43,img77
8,img28,img67,img79
9,img29,img8,img54
10,img3,img80,img19
11,img33,img22,img30
12,img34,img66,img9
13,img37,img86,img47
14,img39,img72,img6
15,img44,,
16,img56,,
17,img57,,
18,img59,,
19,img62,,
20,img63,,
21,img64,,
22,img73,,
23,img74,,
24,img82,,
25,img84,,
26,img90,,
27,img10,,
28,img13,,
29,img14,,
30,img17,,
31,img18,,
32,img20,,
33,img21,,
34,img31,,
35,img32,,
36,img36,,
37,img38,,
38,img40,,
39,img41,,
40,img42,,
41,img46,,
42,img48,,
43,img49,,
44,img5,,
45,img50,,
46,img51,,
47,img52,,
48,img53,,
49,img55,,
50,img60,,
51,img61,,
52,img65,,
53,img68,,
