,train,val,test
0,img1,img4,img58
1,img100,img90,img64
2,img11,img45,img12
3,img15,img28,img73
4,img16,img39,img62
5,img2,img57,img93
6,img23,img74,img3
7,img24,img55,img54
8,img25,img60,img42
9,img26,img6,img70
10,img27,img43,img61
11,img29,img48,img47
12,img33,img53,img49
13,img34,img30,img68
14,img35,img9,img51
15,img37,,
16,img44,,
17,img56,,
18,img59,,
19,img63,,
20,img75,,
21,img76,,
22,img81,,
23,img82,,
24,img83,,
25,img84,,
26,img89,,
27,img10,,
28,img13,,
29,img14,,
30,img17,,
31,img18,,
32,img19,,
33,img20,,
34,img21,,
35,img22,,
36,img31,,
37,img32,,
38,img36,,
39,img38,,
40,img40,,
41,img41,,
42,img46,,
43,img5,,
44,img50,,
45,img52,,
46,img65,,
47,img66,,
48,img67,,
49,img69,,
50,img7,,
51,img71,,
52,img72,,
53,img77,,
