,train,val,test
img1,True,False,False
img100,True,False,False
img11,True,False,False
img15,True,False,False
img16,True,False,False
img2,True,False,False
img23,True,False,False
img24,True,False,False
img25,True,False,False
img26,True,False,False
img27,True,False,False
img29,True,False,False
img33,True,False,False
img34,True,False,False
img35,True,False,False
img37,True,False,False
img44,True,False,False
img56,True,False,False
img59,True,False,False
img63,True,False,False
img75,True,False,False
img76,True,False,False
img81,True,False,False
img82,True,False,False
img83,True,False,False
img84,True,False,False
img89,True,False,False
img10,True,False,False
img13,True,False,False
img14,True,False,False
img17,True,False,False
img18,True,False,False
img19,True,False,False
img20,True,False,False
img21,True,False,False
img22,True,False,False
img31,True,False,False
img32,True,False,False
img36,True,False,False
img38,True,False,False
img40,True,False,False
img41,True,False,False
img46,True,False,False
img5,True,False,False
img50,True,False,False
img52,True,False,False
img65,True,False,False
img66,True,False,False
img67,True,False,False
img69,True,False,False
img7,True,False,False
img71,True,False,False
img72,True,False,False
img77,True,False,False
img4,False,True,False
img90,False,True,False
img45,False,True,False
img28,False,True,False
img39,False,True,False
img57,False,True,False
img74,False,True,False
img55,False,True,False
img60,False,True,False
img6,False,True,False
img43,False,True,False
img48,False,True,False
img53,False,True,False
img30,False,True,False
img9,False,True,False
img58,False,False,True
img64,False,False,True
img12,False,False,True
img73,False,False,True
img62,False,False,True
img93,False,False,True
img3,False,False,True
img54,False,False,True
img42,False,False,True
img70,False,False,True
img61,False,False,True
img47,False,False,True
img49,False,False,True
img68,False,False,True
img51,False,False,True
