,train,val,test
img1,True,False,False
img100,True,False,False
img11,True,False,False
img12,True,False,False
img15,True,False,False
img24,True,False,False
img25,True,False,False
img26,True,False,False
img28,True,False,False
img29,True,False,False
img3,True,False,False
img33,True,False,False
img34,True,False,False
img37,True,False,False
img39,True,False,False
img44,True,False,False
img56,True,False,False
img57,True,False,False
img59,True,False,False
img62,True,False,False
img63,True,False,False
img64,True,False,False
img73,True,False,False
img74,True,False,False
img82,True,False,False
img84,True,False,False
img90,True,False,False
img10,True,False,False
img13,True,False,False
img14,True,False,False
img17,True,False,False
img18,True,False,False
img20,True,False,False
img21,True,False,False
img31,True,False,False
img32,True,False,False
img36,True,False,False
img38,True,False,False
img40,True,False,False
img41,True,False,False
img42,True,False,False
img46,True,False,False
img48,True,False,False
img49,True,False,False
img5,True,False,False
img50,True,False,False
img51,True,False,False
img52,True,False,False
img53,True,False,False
img55,True,False,False
img60,True,False,False
img61,True,False,False
img65,True,False,False
img68,True,False,False
img35,False,True,False
img76,False,True,False
img81,False,True,False
img16,False,True,False
img2,False,True,False
img75,False,True,False
img23,False,True,False
img43,False,True,False
img67,False,True,False
img8,False,True,False
img80,False,True,False
img22,False,True,False
img66,False,True,False
img86,False,True,False
img72,False,True,False
img4,False,False,True
img27,False,False,True
img96,False,False,True
img89,False,False,True
img58,False,False,True
img83,False,False,True
img45,False,False,True
img77,False,False,True
img79,False,False,True
img54,False,False,True
img19,False,False,True
img30,False,False,True
img9,False,False,True
img47,False,False,True
img6,False,False,True
