,train,val,test
img1,TRUE,FALSE,FALSE
img100,TRUE,FALSE,FALSE
img15,TRUE,FALSE,FALSE
img16,TRUE,FALSE,FALSE
img2,TRUE,FALSE,FALSE
img23,TRUE,FALSE,FALSE
img24,TRUE,FALSE,FALSE
img25,TRUE,FALSE,FALSE
img26,TRUE,FALSE,FALSE
img27,TRUE,FALSE,FALSE
img3,TRUE,FALSE,FALSE
img33,TRUE,FALSE,FALSE
img35,TRUE,FALSE,FALSE
img37,TRUE,FALSE,FALSE
img4,TRUE,FALSE,FALSE
img44,TRUE,FALSE,FALSE
img45,TRUE,FALSE,FALSE
img56,TRUE,FALSE,FALSE
img57,TRUE,FALSE,FALSE
img58,TRUE,FALSE,FALSE
img59,TRUE,FALSE,FALSE
img63,TRUE,FALSE,FALSE
img64,TRUE,FALSE,FALSE
img73,TRUE,FALSE,FALSE
img74,TRUE,FALSE,FALSE
img75,TRUE,FALSE,FALSE
img76,TRUE,FALSE,FALSE
img10,TRUE,FALSE,FALSE
img13,TRUE,FALSE,FALSE
img14,TRUE,FALSE,FALSE
img18,TRUE,FALSE,FALSE
img20,TRUE,FALSE,FALSE
img21,TRUE,FALSE,FALSE
img22,TRUE,FALSE,FALSE
img30,TRUE,FALSE,FALSE
img32,TRUE,FALSE,FALSE
img36,TRUE,FALSE,FALSE
img41,TRUE,FALSE,FALSE
img42,TRUE,FALSE,FALSE
img43,TRUE,FALSE,FALSE
img46,TRUE,FALSE,FALSE
img47,TRUE,FALSE,FALSE
img48,TRUE,FALSE,FALSE
img50,TRUE,FALSE,FALSE
img51,TRUE,FALSE,FALSE
img52,TRUE,FALSE,FALSE
img53,TRUE,FALSE,FALSE
img61,TRUE,FALSE,FALSE
img65,TRUE,FALSE,FALSE
img67,TRUE,FALSE,FALSE
img68,TRUE,FALSE,FALSE
img69,TRUE,FALSE,FALSE
img7,TRUE,FALSE,FALSE
img70,TRUE,FALSE,FALSE
img62,FALSE,TRUE,FALSE
img81,FALSE,TRUE,FALSE
img90,FALSE,TRUE,FALSE
img99,FALSE,TRUE,FALSE
img11,FALSE,TRUE,FALSE
img12,FALSE,TRUE,FALSE
img93,FALSE,TRUE,FALSE
img77,FALSE,TRUE,FALSE
img5,FALSE,TRUE,FALSE
img19,FALSE,TRUE,FALSE
img6,FALSE,TRUE,FALSE
img40,FALSE,TRUE,FALSE
img88,FALSE,TRUE,FALSE
img60,FALSE,TRUE,FALSE
img85,FALSE,TRUE,FALSE
img89,FALSE,FALSE,TRUE
img29,FALSE,FALSE,TRUE
img82,FALSE,FALSE,TRUE
img83,FALSE,FALSE,TRUE
img28,FALSE,FALSE,TRUE
img39,FALSE,FALSE,TRUE
img34,FALSE,FALSE,TRUE
img31,FALSE,FALSE,TRUE
img17,FALSE,FALSE,TRUE
img55,FALSE,FALSE,TRUE
img54,FALSE,FALSE,TRUE
img72,FALSE,FALSE,TRUE
img38,FALSE,FALSE,TRUE
img66,FALSE,FALSE,TRUE
img49,FALSE,FALSE,TRUE
