slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,white_thresh,black_thresh,use_padding,contour_fn
Case_1-01.tif,0,processed,0,8,7,4,False,100,16,8,0,250,5,40,True,four_pt
Case_1-02.tif,0,processed,0,8,7,4,False,100,16,8,0,250,5,40,True,four_pt
Case_1-03.tif,0,processed,0,8,7,4,False,100,16,8,0,250,5,40,True,four_pt
Case_1-04.tif,0,processed,0,8,7,4,False,100,16,8,0,250,5,40,True,four_pt
Case_1-05.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_1-06.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_1-07.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_1-08.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-01.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-02.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-03.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-04.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-05.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-06.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-07.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-08.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-09.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_10-10.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_11-07.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_11-09.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_11-10.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_11-11.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_11-12.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_11-13.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_11-15.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-01.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-02.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-03.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-04.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-05.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-06.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-07.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-08.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-09.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-10.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-11.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_12-12.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-01.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-02.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-03.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-04.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-05.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-06.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-07.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-10.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-11.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_13-12.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-01.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-02.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-03.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-04.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-05.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-06.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-07.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-08.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-09.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-10.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-11.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_14-12.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-01.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-02.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-03.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-04.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-05.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-06.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-07.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-08.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-09.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-10.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-11.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_15-12.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-01.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-02.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-03.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-04.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-05.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-06.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-07.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-08.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-09.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-10.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-11.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-12.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_16-13.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_17-01.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_17-02.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_17-03.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
Case_17-04.tif,1,tbp,-1,8,7,4,False,100,16,8,-1,250,5,40,True,four_pt
