,train,val,test
0,img5,img6,img42
1,img7,img9,img47
2,img10,img30,img49
3,img13,img43,img51
4,img14,img48,img54
5,img17,img53,img61
6,img18,img55,img68
7,img19,img60,img70
8,img20,img4,img3
9,img21,img28,img12
10,img22,img39,img58
11,img31,img45,img62
12,img32,img57,img64
13,img36,img74,img73
14,img38,img90,img93
15,img40,,
16,img41,,
17,img46,,
18,img50,,
19,img52,,
20,img65,,
21,img66,,
22,img67,,
23,img69,,
24,img71,,
25,img72,,
26,img77,,
27,img1,,
28,img2,,
29,img11,,
30,img15,,
31,img16,,
32,img23,,
33,img24,,
34,img25,,
35,img26,,
36,img27,,
37,img29,,
38,img33,,
39,img34,,
40,img35,,
41,img37,,
42,img44,,
43,img56,,
44,img59,,
45,img63,,
46,img75,,
47,img76,,
48,img81,,
49,img82,,
50,img83,,
51,img84,,
52,img89,,
53,img100,,
