,train,val,test
0,img5,img8,img6
1,img10,img22,img9
2,img13,img43,img19
3,img14,img66,img30
4,img17,img67,img47
5,img18,img72,img54
6,img20,img80,img77
7,img21,img86,img79
8,img31,img2,img4
9,img32,img16,img27
10,img36,img23,img45
11,img38,img35,img58
12,img40,img75,img83
13,img41,img76,img89
14,img42,img81,img96
15,img46,,
16,img48,,
17,img49,,
18,img50,,
19,img51,,
20,img52,,
21,img53,,
22,img55,,
23,img60,,
24,img61,,
25,img65,,
26,img68,,
27,img1,,
28,img3,,
29,img11,,
30,img12,,
31,img15,,
32,img24,,
33,img25,,
34,img26,,
35,img28,,
36,img29,,
37,img33,,
38,img34,,
39,img37,,
40,img39,,
41,img44,,
42,img56,,
43,img57,,
44,img59,,
45,img62,,
46,img63,,
47,img64,,
48,img73,,
49,img74,,
50,img82,,
51,img84,,
52,img90,,
53,img100,,
