,train,val,test
0,img5,img6,img42
1,img7,img9,img47
2,img8,img30,img49
3,img10,img43,img51
4,img13,img48,img54
5,img14,img53,img61
6,img17,img55,img68
7,img18,img60,img70
8,img19,img4,img3
9,img20,img28,img12
10,img21,img39,img58
11,img22,img45,img62
12,img31,img57,img64
13,img32,img74,img73
14,img36,img90,img93
15,img38,,
16,img40,,
17,img41,,
18,img46,,
19,img50,,
20,img52,,
21,img65,,
22,img66,,
23,img67,,
24,img69,,
25,img71,,
26,img72,,
27,img77,,
28,img78,,
29,img79,,
30,img80,,
31,img85,,
32,img1,,
33,img2,,
34,img11,,
35,img15,,
36,img16,,
37,img23,,
38,img24,,
39,img25,,
40,img26,,
41,img27,,
42,img29,,
43,img33,,
44,img34,,
45,img35,,
46,img37,,
47,img44,,
48,img56,,
49,img59,,
50,img63,,
51,img75,,
52,img76,,
53,img81,,
54,img82,,
55,img83,,
56,img84,,
57,img89,,
58,img91,,
59,img92,,
60,img94,,
61,img95,,
62,img96,,
63,img100,,
