,train,val,test
0,img7,img6,img5
1,img8,img18,img9
2,img10,img19,img21
3,img13,img36,img52
4,img14,img42,img66
5,img17,img65,img68
6,img20,img69,img71
7,img22,img72,img80
8,img30,img25,img1
9,img31,img27,img23
10,img32,img56,img34
11,img38,img94,img81
12,img40,img96,img89
13,img41,img98,img93
14,img43,img99,img100
15,img46,,
16,img47,,
17,img48,,
18,img49,,
19,img50,,
20,img51,,
21,img53,,
22,img54,,
23,img55,,
24,img60,,
25,img61,,
26,img67,,
27,img70,,
28,img77,,
29,img78,,
30,img79,,
31,img85,,
32,img2,,
33,img3,,
34,img4,,
35,img11,,
36,img12,,
37,img15,,
38,img16,,
39,img24,,
40,img26,,
41,img28,,
42,img29,,
43,img33,,
44,img35,,
45,img37,,
46,img39,,
47,img44,,
48,img45,,
49,img57,,
50,img58,,
51,img59,,
52,img62,,
53,img63,,
54,img64,,
55,img73,,
56,img74,,
57,img75,,
58,img76,,
59,img82,,
60,img83,,
61,img84,,
62,img90,,
63,img91,,
