,train,val,test
0,img5,img17,img31
1,img6,img21,img48
2,img7,img38,img50
3,img8,img40,img65
4,img10,img51,img66
5,img13,img53,img68
6,img14,img77,img80
7,img18,img86,img88
8,img19,img26,img33
9,img20,img27,img56
10,img22,img37,img57
11,img30,img44,img62
12,img32,img90,img84
13,img36,img98,img96
14,img41,img99,img100
15,img42,,
16,img43,,
17,img46,,
18,img47,,
19,img49,,
20,img52,,
21,img54,,
22,img55,,
23,img60,,
24,img61,,
25,img67,,
26,img69,,
27,img70,,
28,img71,,
29,img72,,
30,img78,,
31,img79,,
32,img1,,
33,img2,,
34,img3,,
35,img4,,
36,img11,,
37,img12,,
38,img15,,
39,img16,,
40,img23,,
41,img24,,
42,img25,,
43,img28,,
44,img29,,
45,img34,,
46,img35,,
47,img39,,
48,img45,,
49,img58,,
50,img59,,
51,img63,,
52,img64,,
53,img73,,
54,img74,,
55,img75,,
56,img76,,
57,img81,,
58,img82,,
59,img83,,
60,img89,,
61,img91,,
62,img92,,
63,img93,,
