,train,val,test
0,img5,img7,img8
1,img6,img21,img32
2,img10,img38,img54
3,img13,img41,img66
4,img14,img42,img67
5,img17,img43,img77
6,img18,img50,img78
7,img19,img53,img86
8,img20,img44,img28
9,img22,img58,img34
10,img30,img75,img59
11,img31,img81,img64
12,img36,img82,img90
13,img40,img83,img99
14,img46,img89,img100
15,img47,,
16,img48,,
17,img49,,
18,img51,,
19,img52,,
20,img55,,
21,img60,,
22,img61,,
23,img65,,
24,img68,,
25,img69,,
26,img70,,
27,img71,,
28,img72,,
29,img79,,
30,img80,,
31,img85,,
32,img1,,
33,img2,,
34,img3,,
35,img4,,
36,img11,,
37,img12,,
38,img15,,
39,img16,,
40,img23,,
41,img24,,
42,img25,,
43,img26,,
44,img27,,
45,img29,,
46,img33,,
47,img35,,
48,img37,,
49,img39,,
50,img45,,
51,img56,,
52,img57,,
53,img62,,
54,img63,,
55,img73,,
56,img74,,
57,img76,,
58,img84,,
59,img91,,
60,img92,,
61,img93,,
62,img94,,
63,img95,,
