,train,val,test
0,img5,img8,img6
1,img7,img22,img9
2,img10,img43,img19
3,img13,img66,img30
4,img14,img67,img47
5,img17,img72,img54
6,img18,img80,img77
7,img20,img86,img79
8,img21,img2,img4
9,img31,img16,img27
10,img32,img23,img45
11,img36,img35,img58
12,img38,img75,img83
13,img40,img76,img89
14,img41,img81,img96
15,img42,,
16,img46,,
17,img48,,
18,img49,,
19,img50,,
20,img51,,
21,img52,,
22,img53,,
23,img55,,
24,img60,,
25,img61,,
26,img65,,
27,img68,,
28,img69,,
29,img70,,
30,img71,,
31,img78,,
32,img1,,
33,img3,,
34,img11,,
35,img12,,
36,img15,,
37,img24,,
38,img25,,
39,img26,,
40,img28,,
41,img29,,
42,img33,,
43,img34,,
44,img37,,
45,img39,,
46,img44,,
47,img56,,
48,img57,,
49,img59,,
50,img62,,
51,img63,,
52,img64,,
53,img73,,
54,img74,,
55,img82,,
56,img84,,
57,img90,,
58,img91,,
59,img92,,
60,img93,,
61,img94,,
62,img95,,
63,img100,,
