,train,val,test
0,img5,img7,img8
1,img6,img30,img14
2,img10,img38,img18
3,img13,img49,img21
4,img17,img51,img31
5,img19,img53,img42
6,img20,img80,img48
7,img22,img87,img85
8,img32,img3,img1
9,img36,img15,img24
10,img40,img23,img26
11,img41,img28,img64
12,img43,img33,img92
13,img46,img34,img97
14,img47,img99,img98
15,img50,,
16,img52,,
17,img54,,
18,img55,,
19,img60,,
20,img61,,
21,img65,,
22,img66,,
23,img67,,
24,img68,,
25,img69,,
26,img70,,
27,img71,,
28,img72,,
29,img77,,
30,img78,,
31,img79,,
32,img2,,
33,img4,,
34,img11,,
35,img12,,
36,img16,,
37,img25,,
38,img27,,
39,img29,,
40,img35,,
41,img37,,
42,img39,,
43,img44,,
44,img45,,
45,img56,,
46,img57,,
47,img58,,
48,img59,,
49,img62,,
50,img63,,
51,img73,,
52,img74,,
53,img75,,
54,img76,,
55,img81,,
56,img82,,
57,img83,,
58,img84,,
59,img89,,
60,img90,,
61,img91,,
62,img93,,
63,img100,,
