,train,val,test
0,img6,img5,img19
1,img7,img8,img21
2,img10,img14,img36
3,img13,img41,img53
4,img17,img42,img67
5,img18,img48,img72
6,img20,img51,img78
7,img22,img52,img80
8,img30,img25,img3
9,img31,img33,img15
10,img32,img58,img16
11,img38,img62,img28
12,img40,img75,img34
13,img43,img83,img59
14,img46,img98,img82
15,img47,,
16,img49,,
17,img50,,
18,img54,,
19,img55,,
20,img60,,
21,img61,,
22,img65,,
23,img66,,
24,img68,,
25,img69,,
26,img70,,
27,img71,,
28,img77,,
29,img79,,
30,img85,,
31,img86,,
32,img1,,
33,img2,,
34,img4,,
35,img11,,
36,img12,,
37,img23,,
38,img24,,
39,img26,,
40,img27,,
41,img29,,
42,img35,,
43,img37,,
44,img39,,
45,img44,,
46,img45,,
47,img56,,
48,img57,,
49,img63,,
50,img64,,
51,img73,,
52,img74,,
53,img76,,
54,img81,,
55,img84,,
56,img89,,
57,img90,,
58,img91,,
59,img92,,
60,img93,,
61,img94,,
62,img95,,
63,img100,,
