,train,val,test
0,img7,img5,img17
1,img8,img6,img31
2,img10,img19,img38
3,img13,img40,img49
4,img14,img60,img54
5,img18,img77,img55
6,img20,img85,img66
7,img21,img88,img72
8,img22,img11,img28
9,img30,img12,img29
10,img32,img62,img34
11,img36,img81,img39
12,img41,img90,img82
13,img42,img93,img83
14,img43,img99,img89
15,img46,,
16,img47,,
17,img48,,
18,img50,,
19,img51,,
20,img52,,
21,img53,,
22,img61,,
23,img65,,
24,img67,,
25,img68,,
26,img69,,
27,img70,,
28,img71,,
29,img78,,
30,img79,,
31,img80,,
32,img1,,
33,img2,,
34,img3,,
35,img4,,
36,img15,,
37,img16,,
38,img23,,
39,img24,,
40,img25,,
41,img26,,
42,img27,,
43,img33,,
44,img35,,
45,img37,,
46,img44,,
47,img45,,
48,img56,,
49,img57,,
50,img58,,
51,img59,,
52,img63,,
53,img64,,
54,img73,,
55,img74,,
56,img75,,
57,img76,,
58,img84,,
59,img91,,
60,img92,,
61,img94,,
62,img95,,
63,img100,,
