,train,val,test
0,img6,img5,img8
1,img7,img18,img20
2,img10,img41,img32
3,img13,img50,img36
4,img14,img53,img46
5,img17,img78,img67
6,img19,img79,img71
7,img21,img87,img86
8,img22,img1,img3
9,img30,img15,img24
10,img31,img25,img26
11,img38,img56,img39
12,img40,img57,img58
13,img42,img83,img64
14,img43,img100,img95
15,img47,,
16,img48,,
17,img49,,
18,img51,,
19,img52,,
20,img54,,
21,img55,,
22,img60,,
23,img61,,
24,img65,,
25,img66,,
26,img68,,
27,img69,,
28,img70,,
29,img72,,
30,img77,,
31,img80,,
32,img2,,
33,img4,,
34,img11,,
35,img12,,
36,img16,,
37,img23,,
38,img27,,
39,img28,,
40,img29,,
41,img33,,
42,img34,,
43,img35,,
44,img37,,
45,img44,,
46,img45,,
47,img59,,
48,img62,,
49,img63,,
50,img73,,
51,img74,,
52,img75,,
53,img76,,
54,img81,,
55,img82,,
56,img84,,
57,img89,,
58,img90,,
59,img91,,
60,img92,,
61,img93,,
62,img94,,
63,img96,,
