,train,val,test
0,img7,img5,img6
1,img8,img13,img14
2,img10,img17,img21
3,img18,img20,img50
4,img19,img22,img65
5,img31,img30,img67
6,img32,img49,img80
7,img36,img70,img88
8,img38,img1,img15
9,img40,img27,img25
10,img41,img45,img26
11,img42,img58,img33
12,img43,img62,img73
13,img46,img75,img93
14,img47,img98,img100
15,img48,,
16,img51,,
17,img52,,
18,img53,,
19,img54,,
20,img55,,
21,img60,,
22,img61,,
23,img66,,
24,img68,,
25,img69,,
26,img71,,
27,img72,,
28,img77,,
29,img78,,
30,img79,,
31,img85,,
32,img2,,
33,img3,,
34,img4,,
35,img11,,
36,img12,,
37,img16,,
38,img23,,
39,img24,,
40,img28,,
41,img29,,
42,img34,,
43,img35,,
44,img37,,
45,img39,,
46,img44,,
47,img56,,
48,img57,,
49,img59,,
50,img63,,
51,img64,,
52,img74,,
53,img76,,
54,img81,,
55,img82,,
56,img83,,
57,img84,,
58,img89,,
59,img90,,
60,img91,,
61,img92,,
62,img94,,
63,img95,,
