,train,val,test
0,img1,img62,img82
1,img100,img58,img59
2,img11,img25,img34
3,img12,img98,img15
4,img2,img33,img28
5,img23,img75,img16
6,img24,img83,img3
7,img26,img14,img36
8,img27,img41,img78
9,img29,img48,img19
10,img35,img8,img53
11,img37,img52,img21
12,img39,img51,img80
13,img4,img42,img67
14,img44,img5,img72
15,img45,,
16,img56,,
17,img57,,
18,img63,,
19,img64,,
20,img73,,
21,img74,,
22,img76,,
23,img81,,
24,img84,,
25,img89,,
26,img90,,
27,img91,,
28,img92,,
29,img93,,
30,img94,,
31,img95,,
32,img10,,
33,img13,,
34,img17,,
35,img18,,
36,img20,,
37,img22,,
38,img30,,
39,img31,,
40,img32,,
41,img38,,
42,img40,,
43,img43,,
44,img46,,
45,img47,,
46,img49,,
47,img50,,
48,img54,,
49,img55,,
50,img6,,
51,img60,,
52,img61,,
53,img65,,
54,img66,,
55,img68,,
56,img69,,
57,img7,,
58,img70,,
59,img71,,
60,img77,,
61,img79,,
62,img85,,
63,img86,,
