,train,val,test
0,img11,img1,img24
1,img12,img25,img3
2,img16,img15,img39
3,img2,img56,img58
4,img23,img57,img64
5,img27,img100,img95
6,img28,img83,img26
7,img29,img78,img20
8,img33,img18,img67
9,img34,img50,img46
10,img35,img5,img8
11,img37,img79,img36
12,img4,img41,img86
13,img44,img87,img32
14,img45,img53,img71
15,img59,,
16,img62,,
17,img63,,
18,img73,,
19,img74,,
20,img75,,
21,img76,,
22,img81,,
23,img82,,
24,img84,,
25,img89,,
26,img90,,
27,img91,,
28,img92,,
29,img93,,
30,img94,,
31,img96,,
32,img10,,
33,img13,,
34,img14,,
35,img17,,
36,img19,,
37,img21,,
38,img22,,
39,img30,,
40,img31,,
41,img38,,
42,img40,,
43,img42,,
44,img43,,
45,img47,,
46,img48,,
47,img49,,
48,img51,,
49,img52,,
50,img54,,
51,img55,,
52,img6,,
53,img60,,
54,img61,,
55,img65,,
56,img66,,
57,img68,,
58,img69,,
59,img7,,
60,img70,,
61,img72,,
62,img77,,
63,img80,,
