,train,val,test
0,img1,img35,img4
1,img100,img76,img27
2,img11,img81,img96
3,img12,img16,img89
4,img15,img2,img58
5,img24,img75,img83
6,img25,img23,img45
7,img26,img43,img77
8,img28,img67,img79
9,img29,img8,img54
10,img3,img80,img19
11,img33,img22,img30
12,img34,img66,img9
13,img37,img86,img47
14,img39,img72,img6
15,img44,,
16,img56,,
17,img57,,
18,img59,,
19,img62,,
20,img63,,
21,img64,,
22,img73,,
23,img74,,
24,img82,,
25,img84,,
26,img90,,
27,img91,,
28,img92,,
29,img93,,
30,img94,,
31,img95,,
32,img10,,
33,img13,,
34,img14,,
35,img17,,
36,img18,,
37,img20,,
38,img21,,
39,img31,,
40,img32,,
41,img36,,
42,img38,,
43,img40,,
44,img41,,
45,img42,,
46,img46,,
47,img48,,
48,img49,,
49,img5,,
50,img50,,
51,img51,,
52,img52,,
53,img53,,
54,img55,,
55,img60,,
56,img61,,
57,img65,,
58,img68,,
59,img69,,
60,img7,,
61,img70,,
62,img71,,
63,img78,,
