,train,val,test
0,img1,img44,img96
1,img11,img37,img57
2,img12,img27,img33
3,img15,img90,img62
4,img16,img26,img100
5,img2,img99,img84
6,img23,img98,img56
7,img24,img53,img31
8,img25,img21,img50
9,img28,img77,img48
10,img29,img86,img68
11,img3,img38,img80
12,img34,img17,img66
13,img35,img51,img88
14,img39,img40,img65
15,img4,,
16,img45,,
17,img58,,
18,img59,,
19,img63,,
20,img64,,
21,img73,,
22,img74,,
23,img75,,
24,img76,,
25,img81,,
26,img82,,
27,img83,,
28,img89,,
29,img91,,
30,img92,,
31,img93,,
32,img10,,
33,img13,,
34,img14,,
35,img18,,
36,img19,,
37,img20,,
38,img22,,
39,img30,,
40,img32,,
41,img36,,
42,img41,,
43,img42,,
44,img43,,
45,img46,,
46,img47,,
47,img49,,
48,img5,,
49,img52,,
50,img54,,
51,img55,,
52,img6,,
53,img60,,
54,img61,,
55,img67,,
56,img69,,
57,img7,,
58,img70,,
59,img71,,
60,img72,,
61,img78,,
62,img79,,
63,img8,,
