,train,val,test
img11,True,False,False
img12,True,False,False
img15,True,False,False
img16,True,False,False
img2,True,False,False
img24,True,False,False
img26,True,False,False
img28,True,False,False
img29,True,False,False
img3,True,False,False
img33,True,False,False
img35,True,False,False
img37,True,False,False
img39,True,False,False
img4,True,False,False
img44,True,False,False
img45,True,False,False
img57,True,False,False
img58,True,False,False
img59,True,False,False
img62,True,False,False
img63,True,False,False
img64,True,False,False
img73,True,False,False
img74,True,False,False
img75,True,False,False
img76,True,False,False
img82,True,False,False
img83,True,False,False
img84,True,False,False
img90,True,False,False
img91,True,False,False
img10,True,False,False
img13,True,False,False
img14,True,False,False
img17,True,False,False
img20,True,False,False
img22,True,False,False
img30,True,False,False
img31,True,False,False
img32,True,False,False
img38,True,False,False
img40,True,False,False
img41,True,False,False
img43,True,False,False
img46,True,False,False
img47,True,False,False
img48,True,False,False
img49,True,False,False
img50,True,False,False
img51,True,False,False
img53,True,False,False
img54,True,False,False
img55,True,False,False
img60,True,False,False
img61,True,False,False
img67,True,False,False
img7,True,False,False
img70,True,False,False
img77,True,False,False
img78,True,False,False
img79,True,False,False
img8,True,False,False
img85,True,False,False
img96,False,True,False
img25,False,True,False
img99,False,True,False
img94,False,True,False
img27,False,True,False
img98,False,True,False
img56,False,True,False
img69,False,True,False
img42,False,True,False
img36,False,True,False
img18,False,True,False
img72,False,True,False
img19,False,True,False
img6,False,True,False
img65,False,True,False
img93,False,False,True
img100,False,False,True
img89,False,False,True
img34,False,False,True
img23,False,False,True
img81,False,False,True
img1,False,False,True
img52,False,False,True
img68,False,False,True
img66,False,False,True
img9,False,False,True
img21,False,False,True
img80,False,False,True
img5,False,False,True
img71,False,False,True
