,train,val,test
0,img11,img96,img93
1,img12,img25,img100
2,img15,img99,img89
3,img16,img94,img34
4,img2,img27,img23
5,img24,img98,img81
6,img26,img56,img1
7,img28,img69,img52
8,img29,img42,img68
9,img3,img36,img66
10,img33,img18,img9
11,img35,img72,img21
12,img37,img19,img80
13,img39,img6,img5
14,img4,img65,img71
15,img44,,
16,img45,,
17,img57,,
18,img58,,
19,img59,,
20,img62,,
21,img63,,
22,img64,,
23,img73,,
24,img74,,
25,img75,,
26,img76,,
27,img82,,
28,img83,,
29,img84,,
30,img90,,
31,img91,,
32,img10,,
33,img13,,
34,img14,,
35,img17,,
36,img20,,
37,img22,,
38,img30,,
39,img31,,
40,img32,,
41,img38,,
42,img40,,
43,img41,,
44,img43,,
45,img46,,
46,img47,,
47,img48,,
48,img49,,
49,img50,,
50,img51,,
51,img53,,
52,img54,,
53,img55,,
54,img60,,
55,img61,,
56,img67,,
57,img7,,
58,img70,,
59,img77,,
60,img78,,
61,img79,,
62,img8,,
63,img85,,
