,train,val,test
0,img100,img15,img24
1,img11,img34,img97
2,img12,img33,img92
3,img16,img28,img1
4,img2,img99,img26
5,img25,img3,img64
6,img27,img23,img98
7,img29,img38,img31
8,img35,img51,img14
9,img37,img7,img8
10,img39,img30,img42
11,img4,img87,img48
12,img44,img80,img21
13,img45,img53,img85
14,img56,img49,img18
15,img57,,
16,img58,,
17,img59,,
18,img62,,
19,img63,,
20,img73,,
21,img74,,
22,img75,,
23,img76,,
24,img81,,
25,img82,,
26,img83,,
27,img84,,
28,img89,,
29,img90,,
30,img91,,
31,img93,,
32,img10,,
33,img13,,
34,img17,,
35,img19,,
36,img20,,
37,img22,,
38,img32,,
39,img36,,
40,img40,,
41,img41,,
42,img43,,
43,img46,,
44,img47,,
45,img5,,
46,img50,,
47,img52,,
48,img54,,
49,img55,,
50,img6,,
51,img60,,
52,img61,,
53,img65,,
54,img66,,
55,img67,,
56,img68,,
57,img69,,
58,img70,,
59,img71,,
60,img72,,
61,img77,,
62,img78,,
63,img79,,
