,train,val,test
0,img1,img4,img58
1,img100,img90,img64
2,img11,img45,img12
3,img15,img28,img73
4,img16,img39,img62
5,img2,img57,img93
6,img23,img74,img3
7,img24,img55,img54
8,img25,img60,img42
9,img26,img6,img70
10,img27,img43,img61
11,img29,img48,img47
12,img33,img53,img49
13,img34,img30,img68
14,img35,img9,img51
15,img37,,
16,img44,,
17,img56,,
18,img59,,
19,img63,,
20,img75,,
21,img76,,
22,img81,,
23,img82,,
24,img83,,
25,img84,,
26,img89,,
27,img91,,
28,img92,,
29,img94,,
30,img95,,
31,img96,,
32,img10,,
33,img13,,
34,img14,,
35,img17,,
36,img18,,
37,img19,,
38,img20,,
39,img21,,
40,img22,,
41,img31,,
42,img32,,
43,img36,,
44,img38,,
45,img40,,
46,img41,,
47,img46,,
48,img5,,
49,img50,,
50,img52,,
51,img65,,
52,img66,,
53,img67,,
54,img69,,
55,img7,,
56,img71,,
57,img72,,
58,img77,,
59,img78,,
60,img79,,
61,img8,,
62,img80,,
63,img85,,
