,train,val,test
0,img11,img98,img73
1,img12,img45,img25
2,img16,img58,img93
3,img2,img1,img33
4,img23,img27,img100
5,img24,img62,img26
6,img28,img75,img15
7,img29,img20,img6
8,img3,img70,img50
9,img34,img13,img88
10,img35,img30,img67
11,img37,img49,img14
12,img39,img17,img21
13,img4,img22,img65
14,img44,img5,img80
15,img56,,
16,img57,,
17,img59,,
18,img63,,
19,img64,,
20,img74,,
21,img76,,
22,img81,,
23,img82,,
24,img83,,
25,img84,,
26,img89,,
27,img90,,
28,img91,,
29,img92,,
30,img94,,
31,img95,,
32,img10,,
33,img18,,
34,img19,,
35,img31,,
36,img32,,
37,img36,,
38,img38,,
39,img40,,
40,img41,,
41,img42,,
42,img43,,
43,img46,,
44,img47,,
45,img48,,
46,img51,,
47,img52,,
48,img53,,
49,img54,,
50,img55,,
51,img60,,
52,img61,,
53,img66,,
54,img68,,
55,img69,,
56,img7,,
57,img71,,
58,img72,,
59,img77,,
60,img78,,
61,img79,,
62,img8,,
63,img85,,
