,train,val,test
0,img1,img82,img90
1,img11,img81,img99
2,img12,img75,img28
3,img15,img58,img100
4,img16,img44,img34
5,img2,img89,img59
6,img23,img83,img64
7,img24,img7,img78
8,img25,img21,img54
9,img26,img53,img66
10,img27,img38,img86
11,img29,img43,img67
12,img3,img42,img32
13,img33,img41,img8
14,img35,img50,img77
15,img37,,
16,img39,,
17,img4,,
18,img45,,
19,img56,,
20,img57,,
21,img62,,
22,img63,,
23,img73,,
24,img74,,
25,img76,,
26,img84,,
27,img91,,
28,img92,,
29,img93,,
30,img94,,
31,img95,,
32,img10,,
33,img13,,
34,img14,,
35,img17,,
36,img18,,
37,img19,,
38,img20,,
39,img22,,
40,img30,,
41,img31,,
42,img36,,
43,img40,,
44,img46,,
45,img47,,
46,img48,,
47,img49,,
48,img5,,
49,img51,,
50,img52,,
51,img55,,
52,img6,,
53,img60,,
54,img61,,
55,img65,,
56,img68,,
57,img69,,
58,img70,,
59,img71,,
60,img72,,
61,img79,,
62,img80,,
63,img85,,
