,train,val,test
0,img1,img44,img96
1,img11,img37,img57
2,img12,img27,img33
3,img15,img90,img62
4,img16,img26,img100
5,img2,img99,img84
6,img23,img98,img56
7,img24,img53,img31
8,img25,img21,img50
9,img28,img77,img48
10,img29,img86,img68
11,img3,img38,img80
12,img34,img17,img66
13,img35,img51,img88
14,img39,img40,img65
15,img4,,
16,img45,,
17,img58,,
18,img59,,
19,img63,,
20,img64,,
21,img73,,
22,img74,,
23,img75,,
24,img76,,
25,img81,,
26,img82,,
27,img83,,
28,img10,,
29,img13,,
30,img14,,
31,img18,,
32,img19,,
33,img20,,
34,img22,,
35,img30,,
36,img32,,
37,img36,,
38,img41,,
39,img42,,
40,img43,,
41,img46,,
42,img47,,
43,img49,,
44,img5,,
45,img52,,
46,img54,,
47,img55,,
48,img6,,
49,img60,,
50,img61,,
51,img67,,
52,img69,,
53,img7,,
54,img70,,
55,img71,,
