,train,val,test
0,img1,img62,img89
1,img100,img81,img29
2,img15,img90,img82
3,img16,img99,img83
4,img2,img11,img28
5,img23,img12,img39
6,img24,img93,img34
7,img25,img77,img31
8,img26,img5,img17
9,img27,img19,img55
10,img3,img6,img54
11,img33,img40,img72
12,img35,img88,img38
13,img37,img60,img66
14,img4,img85,img49
15,img44,,
16,img45,,
17,img56,,
18,img57,,
19,img58,,
20,img59,,
21,img63,,
22,img64,,
23,img73,,
24,img74,,
25,img75,,
26,img76,,
27,img84,,
28,img10,,
29,img13,,
30,img14,,
31,img18,,
32,img20,,
33,img21,,
34,img22,,
35,img30,,
36,img32,,
37,img36,,
38,img41,,
39,img42,,
40,img43,,
41,img46,,
42,img47,,
43,img48,,
44,img50,,
45,img51,,
46,img52,,
47,img53,,
48,img61,,
49,img65,,
50,img67,,
51,img68,,
52,img69,,
53,img7,,
54,img70,,
55,img71,,
