,train,val,test
0,img11,img98,img73
1,img12,img45,img25
2,img16,img58,img93
3,img2,img1,img33
4,img23,img27,img100
5,img24,img62,img26
6,img28,img75,img15
7,img29,img20,img6
8,img3,img70,img50
9,img34,img13,img88
10,img35,img30,img67
11,img37,img49,img14
12,img39,img17,img21
13,img4,img22,img65
14,img44,img5,img80
15,img56,,
16,img57,,
17,img59,,
18,img63,,
19,img64,,
20,img74,,
21,img76,,
22,img81,,
23,img82,,
24,img83,,
25,img84,,
26,img89,,
27,img90,,
28,img10,,
29,img18,,
30,img19,,
31,img31,,
32,img32,,
33,img36,,
34,img38,,
35,img40,,
36,img41,,
37,img42,,
38,img43,,
39,img46,,
40,img47,,
41,img48,,
42,img51,,
43,img52,,
44,img53,,
45,img54,,
46,img55,,
47,img60,,
48,img61,,
49,img66,,
50,img68,,
51,img69,,
52,img7,,
53,img71,,
54,img72,,
55,img77,,
