,train,val,test
0,img1,img82,img90
1,img11,img81,img99
2,img12,img75,img28
3,img15,img58,img100
4,img16,img44,img34
5,img2,img89,img59
6,img23,img83,img64
7,img24,img7,img78
8,img25,img21,img54
9,img26,img53,img66
10,img27,img38,img86
11,img29,img43,img67
12,img3,img42,img32
13,img33,img41,img8
14,img35,img50,img77
15,img37,,
16,img39,,
17,img4,,
18,img45,,
19,img56,,
20,img57,,
21,img62,,
22,img63,,
23,img73,,
24,img74,,
25,img76,,
26,img84,,
27,img91,,
28,img10,,
29,img13,,
30,img14,,
31,img17,,
32,img18,,
33,img19,,
34,img20,,
35,img22,,
36,img30,,
37,img31,,
38,img36,,
39,img40,,
40,img46,,
41,img47,,
42,img48,,
43,img49,,
44,img5,,
45,img51,,
46,img52,,
47,img55,,
48,img6,,
49,img60,,
50,img61,,
51,img65,,
52,img68,,
53,img69,,
54,img70,,
55,img71,,
