,train,val,test
0,img11,img96,img93
1,img12,img25,img100
2,img15,img99,img89
3,img16,img94,img34
4,img2,img27,img23
5,img24,img98,img81
6,img26,img56,img1
7,img28,img69,img52
8,img29,img42,img68
9,img3,img36,img66
10,img33,img18,img9
11,img35,img72,img21
12,img37,img19,img80
13,img39,img6,img5
14,img4,img65,img71
15,img44,,
16,img45,,
17,img57,,
18,img58,,
19,img59,,
20,img62,,
21,img63,,
22,img64,,
23,img73,,
24,img74,,
25,img75,,
26,img76,,
27,img82,,
28,img10,,
29,img13,,
30,img14,,
31,img17,,
32,img20,,
33,img22,,
34,img30,,
35,img31,,
36,img32,,
37,img38,,
38,img40,,
39,img41,,
40,img43,,
41,img46,,
42,img47,,
43,img48,,
44,img49,,
45,img50,,
46,img51,,
47,img53,,
48,img54,,
49,img55,,
50,img60,,
51,img61,,
52,img67,,
53,img7,,
54,img70,,
55,img77,,
