,train,val,test
0,img11,img1,img24
1,img12,img25,img3
2,img16,img15,img39
3,img2,img56,img58
4,img23,img57,img64
5,img27,img100,img95
6,img28,img83,img26
7,img29,img78,img20
8,img33,img18,img67
9,img34,img50,img46
10,img35,img5,img8
11,img37,img79,img36
12,img4,img41,img86
13,img44,img87,img32
14,img45,img53,img71
15,img59,,
16,img62,,
17,img63,,
18,img73,,
19,img74,,
20,img75,,
21,img76,,
22,img81,,
23,img82,,
24,img84,,
25,img89,,
26,img90,,
27,img91,,
28,img10,,
29,img13,,
30,img14,,
31,img17,,
32,img19,,
33,img21,,
34,img22,,
35,img30,,
36,img31,,
37,img38,,
38,img40,,
39,img42,,
40,img43,,
41,img47,,
42,img48,,
43,img49,,
44,img51,,
45,img52,,
46,img54,,
47,img55,,
48,img6,,
49,img60,,
50,img61,,
51,img65,,
52,img66,,
53,img68,,
54,img69,,
55,img7,,
