,train,val,test
0,img1,img35,img4
1,img100,img76,img27
2,img11,img81,img96
3,img12,img16,img89
4,img15,img2,img58
5,img24,img75,img83
6,img25,img23,img45
7,img26,img43,img77
8,img28,img67,img79
9,img29,img8,img54
10,img3,img80,img19
11,img33,img22,img30
12,img34,img66,img9
13,img37,img86,img47
14,img39,img72,img6
15,img44,,
16,img56,,
17,img57,,
18,img59,,
19,img62,,
20,img63,,
21,img64,,
22,img73,,
23,img74,,
24,img82,,
25,img84,,
26,img90,,
27,img91,,
28,img10,,
29,img13,,
30,img14,,
31,img17,,
32,img18,,
33,img20,,
34,img21,,
35,img31,,
36,img32,,
37,img36,,
38,img38,,
39,img40,,
40,img41,,
41,img42,,
42,img46,,
43,img48,,
44,img49,,
45,img5,,
46,img50,,
47,img51,,
48,img52,,
49,img53,,
50,img55,,
51,img60,,
52,img61,,
53,img65,,
54,img68,,
55,img69,,
