,train,val,test
img100,True,False,False
img11,True,False,False
img12,True,False,False
img16,True,False,False
img2,True,False,False
img25,True,False,False
img27,True,False,False
img29,True,False,False
img35,True,False,False
img37,True,False,False
img39,True,False,False
img4,True,False,False
img44,True,False,False
img45,True,False,False
img56,True,False,False
img57,True,False,False
img58,True,False,False
img59,True,False,False
img62,True,False,False
img63,True,False,False
img73,True,False,False
img74,True,False,False
img75,True,False,False
img76,True,False,False
img81,True,False,False
img82,True,False,False
img83,True,False,False
img84,True,False,False
img10,True,False,False
img13,True,False,False
img17,True,False,False
img19,True,False,False
img20,True,False,False
img22,True,False,False
img32,True,False,False
img36,True,False,False
img40,True,False,False
img41,True,False,False
img43,True,False,False
img46,True,False,False
img47,True,False,False
img5,True,False,False
img50,True,False,False
img52,True,False,False
img54,True,False,False
img55,True,False,False
img6,True,False,False
img60,True,False,False
img61,True,False,False
img65,True,False,False
img66,True,False,False
img67,True,False,False
img68,True,False,False
img69,True,False,False
img70,True,False,False
img71,True,False,False
img15,False,True,False
img34,False,True,False
img33,False,True,False
img28,False,True,False
img99,False,True,False
img3,False,True,False
img23,False,True,False
img38,False,True,False
img51,False,True,False
img7,False,True,False
img30,False,True,False
img87,False,True,False
img80,False,True,False
img53,False,True,False
img49,False,True,False
img24,False,False,True
img97,False,False,True
img92,False,False,True
img1,False,False,True
img26,False,False,True
img64,False,False,True
img98,False,False,True
img31,False,False,True
img14,False,False,True
img8,False,False,True
img42,False,False,True
img48,False,False,True
img21,False,False,True
img85,False,False,True
img18,False,False,True
