,train,val,test
img11,True,False,False
img12,True,False,False
img16,True,False,False
img2,True,False,False
img23,True,False,False
img27,True,False,False
img28,True,False,False
img29,True,False,False
img33,True,False,False
img34,True,False,False
img35,True,False,False
img37,True,False,False
img4,True,False,False
img44,True,False,False
img45,True,False,False
img59,True,False,False
img62,True,False,False
img63,True,False,False
img73,True,False,False
img74,True,False,False
img75,True,False,False
img76,True,False,False
img81,True,False,False
img82,True,False,False
img84,True,False,False
img89,True,False,False
img90,True,False,False
img91,True,False,False
img10,True,False,False
img13,True,False,False
img14,True,False,False
img17,True,False,False
img19,True,False,False
img21,True,False,False
img22,True,False,False
img30,True,False,False
img31,True,False,False
img38,True,False,False
img40,True,False,False
img42,True,False,False
img43,True,False,False
img47,True,False,False
img48,True,False,False
img49,True,False,False
img51,True,False,False
img52,True,False,False
img54,True,False,False
img55,True,False,False
img6,True,False,False
img60,True,False,False
img61,True,False,False
img65,True,False,False
img66,True,False,False
img68,True,False,False
img69,True,False,False
img7,True,False,False
img1,False,True,False
img25,False,True,False
img15,False,True,False
img56,False,True,False
img57,False,True,False
img100,False,True,False
img83,False,True,False
img78,False,True,False
img18,False,True,False
img50,False,True,False
img5,False,True,False
img79,False,True,False
img41,False,True,False
img87,False,True,False
img53,False,True,False
img24,False,False,True
img3,False,False,True
img39,False,False,True
img58,False,False,True
img64,False,False,True
img95,False,False,True
img26,False,False,True
img20,False,False,True
img67,False,False,True
img46,False,False,True
img8,False,False,True
img36,False,False,True
img86,False,False,True
img32,False,False,True
img71,False,False,True
