,train,val,test
img1,True,False,False
img11,True,False,False
img12,True,False,False
img15,True,False,False
img16,True,False,False
img2,True,False,False
img23,True,False,False
img24,True,False,False
img25,True,False,False
img28,True,False,False
img29,True,False,False
img3,True,False,False
img34,True,False,False
img35,True,False,False
img39,True,False,False
img4,True,False,False
img45,True,False,False
img58,True,False,False
img59,True,False,False
img63,True,False,False
img64,True,False,False
img73,True,False,False
img74,True,False,False
img75,True,False,False
img76,True,False,False
img81,True,False,False
img82,True,False,False
img83,True,False,False
img10,True,False,False
img13,True,False,False
img14,True,False,False
img18,True,False,False
img19,True,False,False
img20,True,False,False
img22,True,False,False
img30,True,False,False
img32,True,False,False
img36,True,False,False
img41,True,False,False
img42,True,False,False
img43,True,False,False
img46,True,False,False
img47,True,False,False
img49,True,False,False
img5,True,False,False
img52,True,False,False
img54,True,False,False
img55,True,False,False
img6,True,False,False
img60,True,False,False
img61,True,False,False
img67,True,False,False
img69,True,False,False
img7,True,False,False
img70,True,False,False
img71,True,False,False
img44,False,True,False
img37,False,True,False
img27,False,True,False
img90,False,True,False
img26,False,True,False
img99,False,True,False
img98,False,True,False
img53,False,True,False
img21,False,True,False
img77,False,True,False
img86,False,True,False
img38,False,True,False
img17,False,True,False
img51,False,True,False
img40,False,True,False
img96,False,False,True
img57,False,False,True
img33,False,False,True
img62,False,False,True
img100,False,False,True
img84,False,False,True
img56,False,False,True
img31,False,False,True
img50,False,False,True
img48,False,False,True
img68,False,False,True
img80,False,False,True
img66,False,False,True
img88,False,False,True
img65,False,False,True
