,train,val,test
0,img1,img4,img58
1,img100,img90,img64
2,img11,img45,img12
3,img15,img28,img73
4,img16,img39,img62
5,img2,img57,img93
6,img23,img74,img3
7,img24,img55,img54
8,img25,img60,img42
9,img26,img6,img70
10,img27,img43,img61
11,img29,img48,img47
12,img33,img53,img49
13,img34,img30,img68
14,img35,img9,img51
15,img37,,
16,img44,,
17,img56,,
18,img59,,
19,img63,,
20,img75,,
21,img76,,
22,img81,,
23,img82,,
24,img83,,
25,img84,,
26,img89,,
27,img91,,
28,img10,,
29,img13,,
30,img14,,
31,img17,,
32,img18,,
33,img19,,
34,img20,,
35,img21,,
36,img22,,
37,img31,,
38,img32,,
39,img36,,
40,img38,,
41,img40,,
42,img41,,
43,img46,,
44,img5,,
45,img50,,
46,img52,,
47,img65,,
48,img66,,
49,img67,,
50,img69,,
51,img7,,
52,img71,,
53,img72,,
54,img77,,
55,img78,,
