,train,val,test
0,img100,img15,img24
1,img11,img34,img97
2,img12,img33,img92
3,img16,img28,img1
4,img2,img99,img26
5,img25,img3,img64
6,img27,img23,img98
7,img29,img38,img31
8,img35,img51,img14
9,img37,img7,img8
10,img39,img30,img42
11,img4,img87,img48
12,img44,img80,img21
13,img45,img53,img85
14,img56,img49,img18
15,img57,,
16,img58,,
17,img59,,
18,img62,,
19,img63,,
20,img73,,
21,img74,,
22,img75,,
23,img76,,
24,img81,,
25,img82,,
26,img83,,
27,img84,,
28,img10,,
29,img13,,
30,img17,,
31,img19,,
32,img20,,
33,img22,,
34,img32,,
35,img36,,
36,img40,,
37,img41,,
38,img43,,
39,img46,,
40,img47,,
41,img5,,
42,img50,,
43,img52,,
44,img54,,
45,img55,,
46,img6,,
47,img60,,
48,img61,,
49,img65,,
50,img66,,
51,img67,,
52,img68,,
53,img69,,
54,img70,,
55,img71,,
